"name","results","se","(lower","upper)","missInfo","race","percentile"
"1:income.0.01",7004.30861723447,579.012600301973,5856.0443811284,8152.57285334054,"21 %","white",0.01
"2:income.0.01",2140.20541082164,1103.54517701264,-28.5517952564837,4308.96261689977,"10 %","Black",0.01
"3:income.0.01",5620.74148296593,1586.00359146746,2500.49928838692,8740.98367754495,"12 %","Latino",0.01
"1:income.0.02",11890.0300601202,1114.85822064666,9704.94809978438,14075.1120204561,"0 %","white",0.02
"2:income.0.02",3372.44488977956,1640.09037218128,-77.4222468584603,6822.31202641758,"53 %","Black",0.02
"3:income.0.02",7912.2745490982,1467.42136852917,4957.05688966059,10867.4922085358,"33 %","Latino",0.02
"1:income.0.03",14051.8537074148,731.783926729699,12617.5835665593,15486.1238482703,"0 %","white",0.03
"2:income.0.03",5836.92384769539,2377.20297946367,940.133034367882,10733.7146610229,"44 %","Black",0.03
"3:income.0.03",9728.20641282565,757.426686681359,8243.67738600068,11212.7354396506,"0 %","Latino",0.03
"1:income.0.04",15305.7114228457,619.733928011737,14005.3295701909,16606.0932755005,"52 %","white",0.04
"2:income.0.04",8085.22044088176,1255.20433182311,5624.63533716079,10545.8055446027,"2 %","Black",0.04
"3:income.0.04",11219.8647294589,1280.2340954861,8651.72286975432,13788.0065891635,"30 %","Latino",0.04
"1:income.0.05",16429.8597194389,902.205386100786,14595.7670891007,18263.952349777,"38 %","white",0.05
"2:income.0.05",8431.1122244489,636.211452976767,7181.32490866276,9680.89954023504,"9 %","Black",0.05
"3:income.0.05",12538.5771543086,1176.61513729135,10166.2358200812,14910.9184885361,"33 %","Latino",0.05
"1:income.0.06",18159.3186372745,867.179379570583,16385.1166314391,19933.52064311,"41 %","white",0.06
"2:income.0.06",9252.60521042084,832.930966078451,7564.71588873303,10940.4945321086,"36 %","Black",0.06
"3:income.0.06",13619.4889779559,1417.34504520507,10804.207885507,16434.7700704048,"23 %","Latino",0.06
"1:income.0.07",19240.2304609218,1054.33730534567,17133.2155771965,21347.2453446471,"27 %","white",0.07
"2:income.0.07",10398.371743487,865.043121150911,8660.28546645577,12136.4580205182,"31 %","Black",0.07
"3:income.0.07",14916.5831663327,1380.01635266178,12193.9425033205,17639.2238293449,"16 %","Latino",0.07
"1:income.0.08",20537.3246492986,689.282917283218,19186.3549562648,21888.2943423324,"0 %","white",0.08
"2:income.0.08",10809.1182364729,684.350307233331,9467.8162814867,12150.4201914592,"0 %","Black",0.08
"3:income.0.08",15997.49498998,1223.22157328336,13574.2780512263,18420.7119287336,"20 %","Latino",0.08
"1:income.0.09",21618.2364729459,567.983396660677,20505.0094716742,22731.4634742175,"0 %","white",0.09
"2:income.0.09",11457.6653306613,1025.927875086,9344.92970269153,13570.4009586311,"44 %","Black",0.09
"3:income.0.09",16429.8597194389,1235.66062546943,13983.0428421893,18876.6765966885,"20 %","Latino",0.09
"1:income.0.1",22050.6012024048,933.150888573086,20083.0801908231,24018.1222139865,"53 %","white",0.1
"2:income.0.1",12106.2124248497,1127.82801715653,9862.72936778468,14349.6954819147,"24 %","Black",0.1
"3:income.0.1",17510.7715430862,1279.55199633146,14980.4407742453,20041.1023119271,"18 %","Latino",0.1
"1:income.0.11",23607.1142284569,785.131051737811,22027.8054954263,25186.4229614875,"32 %","white",0.11
"2:income.0.11",12970.9418837675,1024.86582795635,10962.2417719873,14979.6419955478,"0 %","Black",0.11
"3:income.0.11",18375.501002004,1317.33705364967,15793.5678213505,20957.4341826575,"0 %","Latino",0.11
"1:income.0.12",24493.4619238477,988.511464838841,22491.2274703648,26495.6963773306,"36 %","white",0.12
"2:income.0.12",13187.124248497,1096.58921412625,11001.9062512226,15372.3422457714,"25 %","Black",0.12
"3:income.0.12",19240.2304609218,1616.79188919502,16060.3049120145,22420.1560098292,"11 %","Latino",0.12
"1:income.0.13",25985.120240481,912.653447575012,24196.2541975991,27773.9862833628,"1 %","white",0.13
"2:income.0.13",13835.6713426854,1130.55117736252,11587.0933160011,16084.2493693697,"24 %","Black",0.13
"3:income.0.13",20537.3246492986,1704.47103615332,17196.6228057464,23878.0264928508,"0 %","Latino",0.13
"1:income.0.14",27022.7955911824,920.055627758712,25219.5196970019,28826.0714853628,"0 %","white",0.14
"2:income.0.14",14484.2184368737,1285.48681889084,11914.3513653778,17054.0855083697,"28 %","Black",0.14
"3:income.0.14",21618.2364729459,1787.76840073041,18114.2747948155,25122.1981510763,"0 %","Latino",0.14
"1:income.0.15",29184.619238477,1050.47534045636,27125.725404535,31243.5130724189,"0 %","white",0.15
"2:income.0.15",15348.9478957916,1374.29800879749,12637.2891713617,18060.6066202214,"16 %","Black",0.15
"3:income.0.15",22482.9659318637,1809.83225360367,18927.8763763222,26038.0554874052,"9 %","Latino",0.15
"1:income.0.16",30265.5310621242,798.261012691102,28700.9682269872,31830.0938972613,"0 %","white",0.16
"2:income.0.16",16213.6773547094,1464.0366702522,13344.2182089692,19083.1365004497,"0 %","Black",0.16
"3:income.0.16",23780.0601202405,1593.38159082338,20657.0895885975,26903.0306518834,"0 %","Latino",0.16
"1:income.0.17",32427.3547094188,1137.17694318759,30198.5288567218,34656.1805621159,"0 %","white",0.17
"2:income.0.17",17078.4068136273,1684.65260238271,13766.7665849345,20390.04704232,"10 %","Black",0.17
"3:income.0.17",24212.4248496994,1541.49851064687,21162.2299351052,27262.6197642936,"19 %","Latino",0.17
"1:income.0.18",33767.6853707415,1205.29178271302,31394.3985407119,36140.972200771,"13 %","white",0.18
"2:income.0.18",18159.3186372745,1745.97698612616,14728.4831573925,21590.1541171566,"10 %","Black",0.18
"3:income.0.18",24860.9719438878,1149.14319864371,22608.692661467,27113.2512263086,"0 %","Latino",0.18
"1:income.0.19",35453.9078156313,1076.59124812364,33305.797371257,37602.0182600055,"26 %","white",0.19
"2:income.0.19",19456.4128256513,1554.92536917052,16408.8151034294,22504.0105478732,"0 %","Black",0.19
"3:income.0.19",25941.8837675351,996.004676028298,23989.7504740861,27894.017060984,"0 %","Latino",0.19
"1:income.0.2",36751.002004008,911.765898856425,34963.9736799176,38538.0303280984,"0 %","white",0.2
"2:income.0.2",19888.7775551102,1564.60640092721,16794.5692128513,22982.9858973691,"18 %","Black",0.2
"3:income.0.2",25941.8837675351,953.098815263908,24073.84441591,27809.9231191601,"0 %","Latino",0.2
"1:income.0.21",37831.9138276553,867.723002078601,36131.2079950243,39532.6196602863,"0 %","white",0.21
"2:income.0.21",21185.871743487,1495.98088959173,18222.131636063,24149.6118509109,"20 %","Black",0.21
"3:income.0.21",26158.0661322645,1162.80793499118,23848.9618075279,28467.1704570011,"22 %","Latino",0.21
"1:income.0.22",39129.0080160321,1187.47824831585,36773.4138146316,41484.6022174325,"21 %","white",0.22
"2:income.0.22",21834.4188376754,1506.37272008238,18868.277984588,24800.5596907627,"13 %","Black",0.22
"3:income.0.22",27022.7955911824,1280.41422112556,24513.2298324834,29532.3613498814,"0 %","Latino",0.22
"1:income.0.23",40988.1763527054,1118.0530173725,38795.9782156273,43180.3744897835,"4 %","white",0.23
"2:income.0.23",22266.7835671343,1685.78130443571,18940.6683701019,25592.8987641667,"16 %","Black",0.23
"3:income.0.23",27022.7955911824,1543.43331246439,23997.7218862128,30047.8692961519,"0 %","Latino",0.23
"1:income.0.24",42155.5611222445,983.212068137477,40228.5008795299,44082.6213649591,"0 %","white",0.24
"2:income.0.24",23563.877755511,1806.20775082271,20015.8444008342,27111.9111101878,"9 %","Black",0.24
"3:income.0.24",28103.7074148297,1702.64946983462,24766.5757756576,31440.8390540017,"0 %","Latino",0.24
"1:income.0.25",43236.4729458918,1057.35444728113,41164.0963103275,45308.849581456,"0 %","white",0.25
"2:income.0.25",24644.7895791583,1951.79561315683,20813.0586579153,28476.5205004013,"8 %","Black",0.25
"3:income.0.25",28968.4368737475,1819.36374828798,25394.7895393481,32542.0842081469,"9 %","Latino",0.25
"1:income.0.26",44749.749498998,1397.43333627332,41971.8460259941,47527.6529720019,"23 %","white",0.26
"2:income.0.26",25941.8837675351,1926.17398578916,22166.6521274303,29717.1154076398,"0 %","Black",0.26
"3:income.0.26",30265.5310621242,1662.71150063916,27006.676404191,33524.3857200575,"0 %","Latino",0.26
"1:income.0.27",45765.8066132265,1320.06989811147,43151.9059063708,48379.7073200821,"20 %","white",0.27
"2:income.0.27",26806.6132264529,1936.22422796986,23005.2485416422,30607.9779112637,"8 %","Black",0.27
"3:income.0.27",31346.4428857715,1728.19340022442,27901.8425941978,34791.0431773453,"25 %","Latino",0.27
"1:income.0.28",47343.9378757515,1163.18721094718,45034.1200657498,49653.7556857532,"22 %","white",0.28
"2:income.0.28",27671.3426853707,1951.7470511402,23831.8250730947,31510.8602976468,"12 %","Black",0.28
"3:income.0.28",31994.9899799599,1468.74482095795,29082.8098079544,34907.1701519654,"21 %","Latino",0.28
"1:income.0.29",48571.8537074148,877.647204790079,46850.9731801153,50292.7342347144,"4 %","white",0.29
"2:income.0.29",28103.7074148297,1924.09030657943,24332.5597109313,31874.855118728,"0 %","Black",0.29
"3:income.0.29",32427.3547094188,1187.97733061904,30098.9619269555,34755.7474918822,"0 %","Latino",0.29
"1:income.0.3",49505.7615230461,943.624262935869,47599.1177831037,51412.4052629885,"35 %","white",0.3
"2:income.0.3",28968.4368737475,2090.55187546135,24865.9203004811,33070.9534470138,"7 %","Black",0.3
"3:income.0.3",32427.3547094188,1159.43168378738,30154.9103666609,34699.7990521767,"0 %","Latino",0.3
"1:income.0.31",50586.6733466934,1098.58317878088,48397.7468277813,52775.5998656055,"25 %","white",0.31
"2:income.0.31",30265.5310621242,2037.51578773655,26272.0735002288,34258.9886240197,"0 %","Black",0.31
