"name","results","se","(lower","upper)","missInfo","race","percentile"
"1:networth.0.01",-56197.2,7830.80755558495,-71545.7009750253,-40848.6990249747,"1 %","white",0.01
"2:networth.0.01",-155276,16809.2371771128,-188279.309563804,-122272.690436196,"8 %","Black",0.01
"3:networth.0.01",-34002,21023.0106629067,-75206.4131591478,7202.41315914778,"0 %","Latino",0.01
"1:networth.0.02",-29582,4514.91426976816,-38475.859452527,-20688.140547473,"14 %","white",0.02
"2:networth.0.02",-117584,30826.7925337945,-182434.086637757,-52733.9133622425,"53 %","Black",0.02
"3:networth.0.02",-13762,7073.64413081075,-27626.0910070256,102.091007025585,"0 %","Latino",0.02
"1:networth.0.03",-15712.8,2331.03260052283,-20356.5159479814,-11069.0840520186,"25 %","white",0.03
"2:networth.0.03",-81632,13527.2003332181,-108920.727678441,-54343.2723215586,"34 %","Black",0.03
"3:networth.0.03",-11522,2767.56414532506,-17000.056002281,-6043.94399771903,"19 %","Latino",0.03
"1:networth.0.04",-8968,2882.59853586695,-14623.4560549379,-3312.54394506207,"6 %","white",0.04
"2:networth.0.04",-68328,10074.0769842785,-88614.6039900786,-48041.3960099214,"33 %","Black",0.04
"3:networth.0.04",-10106,3053.12583790571,-16090.036471579,-4121.96352842104,"0 %","Latino",0.04
"1:networth.0.05",-2124,1228.75044920274,-4532.69063260599,284.69063260599,"2 %","white",0.05
"2:networth.0.05",-51177,10974.3755292532,-72694.5940741443,-29659.4059258557,"4 %","Black",0.05
"3:networth.0.05",-4538,3528.78082370428,-11456.4843302284,2380.48433022842,"3 %","Latino",0.05
"1:networth.0.06",32.4,463.266529862926,-875.592491696402,940.392491696402,"0 %","white",0.06
"2:networth.0.06",-35988,9695.67677817231,-54994.2716391381,-16981.7283608619,"2 %","Black",0.06
"3:networth.0.06",-1000,2143.49657602412,-5201.45735421777,3201.45735421777,"1 %","Latino",0.06
"1:networth.0.07",434,254.232978180978,-64.3426242329879,932.342624232988,"2 %","white",0.07
"2:networth.0.07",-27856,7561.52051702931,-42842.3522265142,-12869.6477734858,"21 %","Black",0.07
"3:networth.0.07",-324,1015.26180300989,-2321.43032037975,1673.43032037975,"12 %","Latino",0.07
"1:networth.0.08",1248.8,866.459354995046,-451.577287422999,2949.177287423,"7 %","white",0.08
"2:networth.0.08",-19387.8,5366.73065913608,-29914.314993701,-8861.28500629897,"5 %","Black",0.08
"3:networth.0.08",20,365.258236115206,-695.902845987293,735.902845987293,"1 %","Latino",0.08
"1:networth.0.09",3844.4,839.617430867242,2198.30532252801,5490.49467747199,"3 %","white",0.09
"2:networth.0.09",-14420,4061.78119410604,-22480.759772825,-6359.24022717503,"22 %","Black",0.09
"3:networth.0.09",78.2,149.954723357464,-215.82342976783,372.22342976783,"4 %","Latino",0.09
"1:networth.0.1",5532,862.350659964322,3750.86809559845,7313.13190440155,"46 %","white",0.1
"2:networth.0.1",-11753.8,3145.5789822919,-17969.6470760172,-5537.95292398281,"18 %","Black",0.1
