"","results","se","(lower","upper)","missInfo","year","category"
"1",41.226956305398,0.760044759951576,39.7331770223741,42.7207355884218,"10 %","1995","World Cup Final (Resale)"
"2",83.1742666253952,0.490139534677755,82.2055541546521,84.1429790961383,"18 %","2022","World Cup Final (Resale)"
"3",38.7750252727233,0.801557584129729,37.2000150148307,40.3500355306159,"10 %","1995","World Cup Final (Face Value)"
"4",73.1544403254743,0.675324475874968,71.8216819863054,74.4871986646431,"16 %","2022","World Cup Final (Face Value)"
"5",24.2205104144963,0.734999116752979,22.7782754585208,25.6627453704718,"6 %","1995","Round of 16 (Face Value)"
"6",25.5139725616134,0.66639787698896,24.2056348843989,26.8223102388279,"8 %","2022","Round of 16 (Face Value)"
"7",36.8240538882401,0.819587664524416,35.2031604785977,38.4449472978825,"18 %","1995","Group Stage - Best Seats (Resale)"
"8",78.0925521206907,0.624168577433383,76.8505754722128,79.3345287691687,"24 %","2022","Group Stage - Best Seats (Resale)"
"9",23.2061514257384,0.70934665099146,21.8147923762787,24.5975104751981,"5 %","1995","Group Stage (Face Value)"
"10",23.1245817900525,0.629905206769505,21.8869871556682,24.3621764244368,"9 %","2022","Group Stage (Face Value)"
"11",26.7118755807991,0.74017782749681,25.2607045217495,28.1630466398487,"3 %","1995","Group Stage (Resale)"
"12",44.8771963285654,0.741448662833907,43.4116846078741,46.3427080492568,"18 %","2022","Group Stage (Resale)"
"13",81.1775571783306,0.550481546860339,80.0872058391433,82.2679085175179,"20 %","2022","Follow USMNT through Group Stage"
"14",90.3551498810299,0.403238401383296,89.5559978216058,91.154301940454,"21 %","2022","Follow a Team through Whole Tournament"
